Signal_ID,Signal,State,Original_Weight,Adjusted_Weight,Final_Weight,Evidence_Type,Activation_Condition,Notes,,,,,,,,State ,Count,Summation of All signal weigths,"max(ln(weight) , 1)",ceil(ln(weight))
SIG_33,meeting_attendance_without_participation,Communication Failures,0.92,0.411,0.1,POSITIVE,THRESHOLD_BASED,Zero interaction in meeting prevents effective communication,,,,,,,,,,,,
SIG_33,meeting_attendance_without_participation,Complacency,0.68,0.304,0.236,POSITIVE,THRESHOLD_BASED,Complacent meeting attendance without engagement,,,,,,,,,,,,
SIG_33,meeting_attendance_without_participation,Fatigue,0.7,0.313,0.497,POSITIVE,THRESHOLD_BASED,Meeting fatigue leads to passive attendance,,,,,,,,,,,,
SIG_33,meeting_attendance_without_participation,Multitasking,0.85,0.38,0.534,POSITIVE,THRESHOLD_BASED,Attending without participating indicates multitasking elsewhere,,,,,,,,,,,,
SIG_34,security_warning_auto_accept_ratio,Rushing,,,-0.45,NEGATIVE,value < 0.5,Security scrutiny contradicts rushed behavior,,,,,,,,,,,,
SIG_34,security_warning_auto_accept_ratio,Stress,,,-0.45,NEGATIVE,value < 0.5,Security scrutiny contradicts rushed behavior,,,,,,,,,,,,
SIG_34,security_warning_auto_accept_ratio,Alert Fatigue,0.85,0.491,0.439,POSITIVE,THRESHOLD_BASED,Also reflects warning habituation pattern,,,,,,,,,,,,
SIG_34,security_warning_auto_accept_ratio,Complacency,0.92,0.531,0.413,POSITIVE,THRESHOLD_BASED,High acceptance ratio (>0.7) indicates complacent security posture,,,,,,,,,,,,
SIG_34,security_warning_auto_accept_ratio,Rushing,0.72,0.416,0.455,POSITIVE,THRESHOLD_BASED,Rush leads to auto-accepting to save time,,,,,,,,,,,,
SIG_35,automated_suggestion_acceptance_rate,Cognitive Overload,,,-0.5,NEGATIVE,value < 0.7,Careful review of suggestions contradicts pressure states,,,,,,,,,,,,
SIG_35,automated_suggestion_acceptance_rate,Rushing,,,-0.5,NEGATIVE,value < 0.7,Careful review of suggestions contradicts pressure states,,,,,,,,,,,,
SIG_35,automated_suggestion_acceptance_rate,Stress,,,-0.5,NEGATIVE,value < 0.7,Careful review of suggestions contradicts pressure states,,,,,,,,,,,,
SIG_35,automated_suggestion_acceptance_rate,Automation Bias,0.94,0.47,0.1,POSITIVE,THRESHOLD_BASED,High acceptance rate (>0.9) indicates over-reliance on automation,,,,,,,,,,,,
SIG_35,automated_suggestion_acceptance_rate,Complacency,0.85,0.425,0.33,POSITIVE,THRESHOLD_BASED,Over-acceptance reflects complacent trust in tools,,,,,,,,,,,,
SIG_35,automated_suggestion_acceptance_rate,Fatigue,0.68,0.34,0.54,POSITIVE,THRESHOLD_BASED,Decision fatigue leads to accepting suggestions,,,,,,,,,,,,
SIG_35,automated_suggestion_acceptance_rate,Rushing,0.75,0.375,0.411,POSITIVE,THRESHOLD_BASED,Rush leads to accepting suggestions without review,,,,,,,,,,,,
SIG_36,contradictory_information_skip_count,Cognitive Overload,,,-0.5,NEGATIVE,value < 2,Reviewing contradictory info contradicts pure confirmation bias,,,,,,,,,,,,
SIG_36,contradictory_information_skip_count,Cognitive Overload,0.75,0.375,0.443,POSITIVE,THRESHOLD_BASED,May skip to reduce cognitive burden,,,,,,,,,,,,
SIG_36,contradictory_information_skip_count,Complacency,0.65,0.325,0.252,POSITIVE,THRESHOLD_BASED,False security leads to skipping warnings,,,,,,,,,,,,
SIG_36,contradictory_information_skip_count,Confirmation Bias,0.94,0.47,0.1,POSITIVE,THRESHOLD_BASED,Skipping contrary information shows strong confirmation bias,,,,,,,,,,,,
SIG_36,contradictory_information_skip_count,Rushing,0.68,0.34,0.372,POSITIVE,THRESHOLD_BASED,Time pressure leads to skipping contradictory info,,,,,,,,,,,,
SIG_37,asynchronous_communication_delay_ms,Communication,,,-0.6,NEGATIVE,value < 1800000,Reasonable async delays contradict comm failures,,,,,,,,,,,,
SIG_37,asynchronous_communication_delay_ms,Communication,0.92,0.411,0.1,POSITIVE,THRESHOLD_BASED,Long delays directly indicate async communication issues,,,,,,,,,,,,
SIG_37,asynchronous_communication_delay_ms,Communication Failures,0.85,0.38,0.1,POSITIVE,THRESHOLD_BASED,Communication delays lead to escalation failures,,,,,,,,,,,,
SIG_37,asynchronous_communication_delay_ms,Fatigue,0.72,0.322,0.511,POSITIVE,THRESHOLD_BASED,Fatigue slows communication responsiveness,,,,,,,,,,,,
SIG_37,asynchronous_communication_delay_ms,Multitasking,0.82,0.367,0.515,POSITIVE,THRESHOLD_BASED,Delay reflects attention divided across channels,,,,,,,,,,,,
SIG_37,asynchronous_communication_delay_ms,Prioritization Errors,0.65,0.291,0.1,POSITIVE,THRESHOLD_BASED,Poor prioritization causes selective delays,,,,,,,,,,,,
SIG_38,low_priority_task_time_ratio,Rushing,,,-0.45,NEGATIVE,value < 0.3,Focusing on high-priority tasks contradicts poor prioritization,,,,,,,,,,,,
SIG_38,low_priority_task_time_ratio,Stress,,,-0.45,NEGATIVE,value < 0.3,Focusing on high-priority tasks contradicts poor prioritization,,,,,,,,,,,,
SIG_38,low_priority_task_time_ratio,Cognitive Overload,0.68,0.34,0.402,POSITIVE,THRESHOLD_BASED,Overload leads to choosing easier tasks,,,,,,,,,,,,
SIG_38,low_priority_task_time_ratio,Complacency,0.75,0.375,0.291,POSITIVE,THRESHOLD_BASED,Avoiding hard tasks suggests complacent approach,,,,,,,,,,,,
SIG_38,low_priority_task_time_ratio,Fatigue,0.65,0.325,0.516,POSITIVE,THRESHOLD_BASED,Decision fatigue drives easier task selection,,,,,,,,,,,,
SIG_38,low_priority_task_time_ratio,Prioritization Errors,0.9,0.45,0.1,POSITIVE,THRESHOLD_BASED,High ratio (>0.5) indicates reacting to latest rather than important,,,,,,,,,,,,
SIG_39,task_complexity_indicator,Boredom / Repetition,,,-0.5,NEGATIVE,value > 10,Handling complex tasks contradicts disengagement,,,,,,,,,,,,
SIG_39,task_complexity_indicator,Complacency,,,-0.5,NEGATIVE,value > 10,Handling complex tasks contradicts disengagement,,,,,,,,,,,,
SIG_39,task_complexity_indicator,Cognitive Load,0.92,0.531,0.26,POSITIVE,THRESHOLD_BASED,High sub-step count (>10) directly measures task complexity,,,,,,,,,,,,
SIG_39,task_complexity_indicator,Cognitive Overload,0.85,0.491,0.58,POSITIVE,THRESHOLD_BASED,Complex tasks can lead to paralysis,,,,,,,,,,,,
SIG_39,task_complexity_indicator,Stress,0.75,0.433,0.433,POSITIVE,THRESHOLD_BASED,Complexity correlates with stress levels,,,,,,,,,,,,
SIG_40,cognitive_load_switch_count,Boredom / Repetition,,,-0.55,NEGATIVE,value > 5,Complex switching contradicts cognitive conservation,,,,,,,,,,,,
SIG_40,cognitive_load_switch_count,Fatigue,,,-0.55,NEGATIVE,value > 5,Complex switching contradicts cognitive conservation,,,,,,,,,,,,
SIG_40,cognitive_load_switch_count,Cognitive Load,0.94,0.47,0.23,POSITIVE,THRESHOLD_BASED,Switches between complex tasks directly measure cognitive burden,,,,,,,,,,,,
SIG_40,cognitive_load_switch_count,Cognitive Overload,0.82,0.41,0.485,POSITIVE,THRESHOLD_BASED,Frequent complex switches create overload,,,,,,,,,,,,
SIG_40,cognitive_load_switch_count,Multitasking,0.85,0.425,0.597,POSITIVE,THRESHOLD_BASED,Complex task switching indicates multitasking,,,,,,,,,,,,
SIG_40,cognitive_load_switch_count,Stress,0.68,0.34,0.34,POSITIVE,THRESHOLD_BASED,Overwhelming workload forces complex switching,,,,,,,,,,,,
